technical_id,machine_id,machine_identifier,machine_name,machine_type,hospital_abbreviation
1,4,SVJOINT1,JOINT1 (ORTHO),CTS,SV
2,6,SV6W,6W,CTS,SV
3,12,SVOR3,OR 3,CTS,SV
4,16,SVONCOLOGY,Oncology,CTS,SV
5,19,SVCICU2,CICU2,CTS,SV
6,21,SVCICU1,CICU1,CTS,SV
7,22,SV5N1,5N1,CTS,SV
8,23,SV5N2,5N2,CTS,SV
9,25,SV6N2,6N2,CTS,SV
10,26,SV6N1,6N1,CTS,SV
11,28,SVNICU2  ,NICU2,CTS,SV
12,29,SVNICU1,NICU1,CTS,SV
13,30,SVBPTRIAGE,BPTRIAGE,CTS,SV
14,31,SVBPOR,BPOR,CTS,SV
15,32,SVBIRTH,BIRTHPLACE,CTS,SV
16,35,SVCATHLAB,CATHLAB,CTS,SV
17,37,SVCVOPC,CVOPC,CTS,SV
18,38,SVVN,Vail North,CTS,SV
19,39,SVANES,ANES,CTS,SV
20,40,SVRADIOLOG,RADIOLOGY,CTS,SV
21,43,SVOR17,  OR 17,CTS,SV
22,44,SVOR15,OR 15,CTS,SV
23,45,SV7N2,7N2,CTS,SV
24,46,SVOR4,OR 4,CTS,SV
25,47,SVOR14,OR 14,CTS,SV
26,48,SVOR20,OR 20,CTS,SV
27,49,SVOR18,OR 18,CTS,SV
28,50,SV7N1,7N1,CTS,SV
29,51,SVOR16,OR 16,CTS,SV
30,52,SVOR10,OR 10,CTS,SV
31,53,SVOR7,OR 7,CTS,SV
32,54,SVOR19,OR 19,CTS,SV
33,55,SVOR6,OR 6,CTS,SV
34,56,SVOR5,OR 5,CTS,SV
35,57,SVOR11,OR 11,CTS,SV
36,58,SVOR9,OR 9,CTS,SV
37,59,SVPREPOST,PREPOST,CTS,SV
38,62,SVPACU2,PACU2,CTS,SV
39,63,SVPACU,PACU,CTS,SV
40,68,,Vail South,CTS,SV
41,69,SVPHARMSAT,PHARMSAT,VAULT,SV
42,70,SVJOINT2,JOINT2,CTS,SV
43,71,SVSPINE1,Spine 1,CTS,SV
44,72,SVSPINE2,Spine 2,CTS,SV
45,79,SV4E,4E,CTS,SV
46,81,SVNURSERY,Nursery,CTS,SV
47,83,SVCHEMO,CHEMO,CTS,SV
48,85,SVTRAUMA,Trauma Center,CTS,SV
49,88,SVEMDRX,EMD Pharmacy,CTS,SV
50,91,SVEMD4,EMERGENCY 4,CTS,SV
51,93,SVEMD1,EMERGENCY 1,CTS,SV
52,94,SVEMD3,EMERGENCY 3,CTS,SV
53,95,SVEMD2,EMERGENCY 2,CTS,SV
54,100,SV3P1,3P1,CTS,SV
55,101,SV3P2,3P2,CTS,SV
56,102,SV4P1,4P1,CTS,SV
57,104,SV4P2,4P2,CTS,SV
58,108,,5W,CTS,SV
59,110,SVPICU1,PICU1,CTS,SV
60,113,SVSTRESS,STRESS,CTS,SV
61,114,SV5E,5E,CTS,SV
62,120,SVINFUSION,INFUSION CENTER,CTS,SV
63,121,SV7W,7 WEST,CTS,SV
64,123,SVCICU3,CICU3,CTS,SV
65,125,SV7E,7EAST,CTS,SV
66,127,SVSTOP1,STOP 1,CTS,SV
67,128,SVSTOP2,STOP 2,CTS,SV
68,642879,SVNARCOTIC,Narcotic Vault,CSM,SV
69,646220,SVVN2   ,Vail North 2,CTS,SV
70,646221,SVTENTOR2,Tent OR 2,CTS,SV
71,646222,SVTENTOR1,Tent OR 1,CTS,SV
72,646223,SVTENT,ExcellENT,CTS,SV
73,646227,SVSPINE3,   SPINE 3,CTS,SV
74,646229,SVOPO,OP OBSERVE,CTS,SV
75,646230,SVEPLAB2,EPLAB 2,CTS,SV
76,646231,SVEPLAB,EPLAB,CTS,SV
77,646276,SVCP_OR,CP_OR,CP,SV
78,646278,SVONCTREAT,Oncology Treatment,CTS,SV
79,646279,SVCP_KIT,CP_Kit Check,CP,SV
80,646280,SVSPINE4,SPINE4,CTS,SV
81,646281,SVMICU2,PAV Intensive Care 2,CTS,SV
82,646282,SVMICU1,PAV Intensive Care 1,CTS,SV
83,646283,SVOR2,OR 2,CTS,SV
84,646284,SV1CP_MAIN,Central Pharmacy Carousel,CP,SV
85,646285,SVCATPROC3,CathLab Procedure Room 3,CTS,SV
86,646287,SVSTRESLAB,Stress Testing Lab,CTS,SV
87,646288,SVOR8,OR 8,CTS,SV
88,646289,SVOR12,OR 12,CTS,SV
89,646290,SVSDSPREPO,SDS PRE/POST,CTS,SV
90,646291,SVSDSOR3,SDS OR 3,CTS,SV
91,646292,SVSDSSTOCK,SDS STOCK,CTS,SV
92,646293,SVSDSOR2,,CTS,SV
93,646294,SVSDSOR1,SDS OR 1,CTS,SV
94,646296,SVSDSOR4,SDS OR 4,CTS,SV
95,646298,STCP_KIT,Kit Check ***MULTI-SITE***,CP,ST
96,646299,SVPALLMED,Palliative Med & Supportive Care,CTS,SV
97,646306,SV880021,Ophthalmology -  880021,REMOTE,SV
98,646307,SV880002,Internal Medicine - 880002,REMOTE,SV
99,646308,SVSDS,Remote Order Single Day Surgery,REMOTE,SV
100,646309,SV880000,Family Practice - 901 - 880000,REMOTE,SV
101,646314,SVICU,PAV Intensive Care 1,STKRM,SV
102,646315,SVITU,Critical Care Demo,STKRM,SV
